"Entered onto HPZone","Region","Count of exposures recorded on HPZ"
2022-09-26,"East Midlands",10
2022-09-26,"East of England",36
2022-09-26,"North West",4
2022-09-26,"South East",1
2022-09-26,"South West",1
2022-09-26,"West Midlands",4
2022-09-26,"Yorkshire & Humber",2
2022-10-03,"East Midlands",9
2022-10-03,"East of England",52
2022-10-03,"London",1
2022-10-03,"North West",4
2022-10-03,"South East",5
2022-10-03,"South West",12
2022-10-03,"West Midlands",14
2022-10-03,"Yorkshire & Humber",5
2022-10-10,"East Midlands",31
2022-10-10,"East of England",88
2022-10-10,"North West",25
2022-10-10,"South West",4
2022-10-10,"West Midlands",6
2022-10-10,"Yorkshire & Humber",1
2022-10-17,"East Midlands",15
2022-10-17,"East of England",98
2022-10-17,"London",3
2022-10-17,"North West",29
2022-10-17,"South East",47
2022-10-17,"South West",7
2022-10-17,"West Midlands",39
2022-10-17,"Yorkshire & Humber",10
2022-10-24,"East Midlands",49
2022-10-24,"East of England",104
2022-10-24,"London",1
2022-10-24,"North East",1
2022-10-24,"North West",39
2022-10-24,"South East",41
2022-10-24,"South West",9
2022-10-24,"West Midlands",12
2022-10-24,"Yorkshire & Humber",20
2022-10-31,"East Midlands",24
2022-10-31,"East of England",124
2022-10-31,"North West",77
2022-10-31,"South East",16
2022-10-31,"South West",6
2022-10-31,"West Midlands",14
2022-10-31,"Yorkshire & Humber",11
2022-11-07,"East Midlands",144
2022-11-07,"East of England",44
2022-11-07,"North East",1
2022-11-07,"North West",62
2022-11-07,"South East",1
2022-11-07,"South West",9
2022-11-07,"West Midlands",24
2022-11-07,"Yorkshire & Humber",19
2022-11-14,"East Midlands",114
2022-11-14,"East of England",27
2022-11-14,"North East",1
2022-11-14,"North West",14
2022-11-14,"South East",14
2022-11-14,"South West",12
2022-11-14,"West Midlands",8
2022-11-14,"Yorkshire & Humber",23
2022-11-21,"East Midlands",181
2022-11-21,"East of England",45
2022-11-21,"North East",14
2022-11-21,"North West",4
2022-11-21,"South East",7
2022-11-21,"South West",11
2022-11-21,"West Midlands",20
2022-11-21,"Yorkshire & Humber",13
2022-11-28,"East Midlands",3
2022-11-28,"East of England",23
2022-11-28,"North East",3
2022-11-28,"North West",3
2022-11-28,"South East",5
2022-11-28,"South West",17
2022-11-28,"West Midlands",35
2022-11-28,"Yorkshire & Humber",11
2022-12-05,"East of England",8
2022-12-05,"North West",2
2022-12-05,"South East",29
2022-12-12,"East of England",5
2022-12-12,"North West",9
2022-12-12,"South East",1
2022-12-12,"South West",3
2022-12-12,"West Midlands",39
2022-12-12,"Yorkshire & Humber",20
2022-12-19,"East Midlands",10
2022-12-19,"East of England",2
2022-12-19,"London",3
2022-12-19,"North West",7
2022-12-19,"South East",5
2022-12-19,"South West",1
2022-12-19,"West Midlands",12
2022-12-19,"Yorkshire & Humber",15
2022-12-26,"East Midlands",6
2022-12-26,"North West",1
2022-12-26,"West Midlands",2
2023-01-02,"East of England",6
2023-01-02,"Yorkshire & Humber",3
2023-01-09,"East Midlands",4
2023-01-09,"East of England",10
2023-01-09,"North West",13
2023-01-09,"South East",2
2023-01-09,"South West",1
2023-01-09,"West Midlands",8
2023-01-09,"Yorkshire & Humber",8
2023-01-16,"East Midlands",6
2023-01-16,"East of England",18
2023-01-16,"North West",7
2023-01-16,"West Midlands",1
2023-01-16,"Yorkshire & Humber",2
2023-01-23,"East of England",1
2023-01-30,"East Midlands",2
2023-01-30,"East of England",1
2023-01-30,"West Midlands",1
2023-02-06,"North West",9
2023-02-06,"West Midlands",1
2023-02-06,"Yorkshire & Humber",1
2023-02-13,"North West",2
