"Collection date","HPAI strain","WOAH Classification","Count of detections"
2021-05-24,"H5N1","Wild mammals",2
2021-10-18,"H5N1","Wild mammals",1
2021-11-22,"H5N1","Wild mammals",1
2021-12-06,"H5N1","Wild mammals",1
2021-12-20,"H5N1","Wild mammals",1
2022-02-14,"H5N1","Wild mammals",1
2022-03-07,"H5N1","Wild mammals",2
2022-03-14,"H5N1","Wild mammals",2
2022-03-28,"H5N1","Wild mammals",2
2022-04-04,"H5N1","Wild mammals",3
2022-04-11,"H5N1","Wild mammals",9
2022-04-18,"H5N1","Wild mammals",6
2022-04-25,"H5N1","Wild mammals",2
2022-05-02,"H5N1","Wild mammals",11
2022-05-09,"H5N1","Wild mammals",15
2022-05-16,"H5N1","Wild mammals",8
2022-05-23,"H5N1","Wild mammals",3
2022-05-30,"H5N1","Wild mammals",3
2022-06-06,"H5N1","Wild mammals",7
2022-06-13,"H5N1","Wild mammals",1
2022-06-20,"H5N1","Wild mammals",4
2022-06-27,"H5N1","Wild mammals",7
2022-07-04,"H5N1","Wild mammals",10
2022-07-11,"H5N1","Wild mammals",2
2022-07-18,"H5N1","Wild mammals",2
2022-07-25,"H5N1","Wild mammals",1
2022-08-29,"H5N1","Wild mammals",4
2022-09-12,"H5N1","Wild mammals",1
2022-09-19,"H5N1","Wild mammals",4
2022-10-03,"H5N1","Wild mammals",1
2022-10-17,"H5N1","Wild mammals",6
2022-10-31,"H5N1","Wild mammals",4
2022-11-14,"H5N1","Wild mammals",2
2022-11-21,"H5N1","Wild mammals",2
2022-11-28,"H5N1","Wild mammals",7
2022-12-05,"H5N1","Wild mammals",2
2022-12-12,"H5N1","Wild mammals",3
2022-12-19,"H5N1","Wild mammals",3
2022-12-26,"H5N1","Wild mammals",2
2023-01-02,"H5N1","Wild mammals",1
2023-01-09,"H5N1","Wild mammals",6
2023-01-23,"H5N1","Wild mammals",4
